insert into flight (flight_id, arrival_datetime, status, passenger_id, gate_id, aircraft_id) values ('F1001', '29-Apr-2024', 'Processing', 'P1001', 'G1001', 'A1001');
insert into flight (flight_id, arrival_datetime, status, passenger_id, gate_id, aircraft_id) values ('F1002', '30-Apr-2024', 'Scheduled', 'P1002', 'G1002', 'A1002');
insert into flight (flight_id, arrival_datetime, status, passenger_id, gate_id, aircraft_id) values ('F1003', '26-Apr-2024', 'Scheduled', 'P1003', 'G1003', 'A1003');
insert into flight (flight_id, arrival_datetime, status, passenger_id, gate_id, aircraft_id) values ('F1004', '30-Apr-2024', 'Scheduled', 'P1004', 'G1004', 'A1004');
insert into flight (flight_id, arrival_datetime, status, passenger_id, gate_id, aircraft_id) values ('F1005', '04-May-2024', 'Processing', 'P1005', 'G1005', 'A1005');
insert into flight (flight_id, arrival_datetime, status, passenger_id, gate_id, aircraft_id) values ('F1006', '30-Apr-2024', 'Scheduled', 'P1006', 'G1006', 'A1006');
insert into flight (flight_id, arrival_datetime, status, passenger_id, gate_id, aircraft_id) values ('F1007', '02-May-2024', 'Processing', 'P1007', 'G1007', 'A1007');
insert into flight (flight_id, arrival_datetime, status, passenger_id, gate_id, aircraft_id) values ('F1008', '29-Apr-2024', 'Processing', 'P1008', 'G1008', 'A1008');
insert into flight (flight_id, arrival_datetime, status, passenger_id, gate_id, aircraft_id) values ('F1009', '28-Apr-2024', 'Processing', 'P1009', 'G1009', 'A1009');
insert into flight (flight_id, arrival_datetime, status, passenger_id, gate_id, aircraft_id) values ('F1010', '02-May-2024', 'Processing', 'P1010', 'G1010', 'A1010');
insert into flight (flight_id, arrival_datetime, status, passenger_id, gate_id, aircraft_id) values ('F1011', '29-Apr-2024', 'Scheduled', 'P1011', 'G1001', 'A1011');
insert into flight (flight_id, arrival_datetime, status, passenger_id, gate_id, aircraft_id) values ('F1012', '29-Apr-2024', 'Processing', 'P1012', 'G1002', 'A1012');
insert into flight (flight_id, arrival_datetime, status, passenger_id, gate_id, aircraft_id) values ('F1013', '27-Apr-2024', 'Scheduled', 'P1013', 'G1003', 'A1013');
insert into flight (flight_id, arrival_datetime, status, passenger_id, gate_id, aircraft_id) values ('F1014', '02-May-2024', 'Processing', 'P1014', 'G1004', 'A1014');
insert into flight (flight_id, arrival_datetime, status, passenger_id, gate_id, aircraft_id) values ('F1015', '03-May-2024', 'Scheduled', 'P1015', 'G1005', 'A1015');
insert into flight (flight_id, arrival_datetime, status, passenger_id, gate_id, aircraft_id) values ('F1016', '29-Apr-2024', 'Scheduled', 'P1016', 'G1006', 'A1016');
insert into flight (flight_id, arrival_datetime, status, passenger_id, gate_id, aircraft_id) values ('F1017', '30-Apr-2024', 'Processing', 'P1017', 'G1007', 'A1017');
insert into flight (flight_id, arrival_datetime, status, passenger_id, gate_id, aircraft_id) values ('F1018', '04-May-2024', 'Scheduled', 'P1018', 'G1008', 'A1018');
insert into flight (flight_id, arrival_datetime, status, passenger_id, gate_id, aircraft_id) values ('F1019', '29-Apr-2024', 'Processing', 'P1019', 'G1009', 'A1019');
insert into flight (flight_id, arrival_datetime, status, passenger_id, gate_id, aircraft_id) values ('F1020', '28-Apr-2024', 'Scheduled', 'P1020', 'G1010', 'A1020');
insert into flight (flight_id, arrival_datetime, status, passenger_id, gate_id, aircraft_id) values ('F1021', '26-Apr-2024', 'Processing', 'P1021', 'G1001', 'A1021');
insert into flight (flight_id, arrival_datetime, status, passenger_id, gate_id, aircraft_id) values ('F1022', '03-May-2024', 'Scheduled', 'P1022', 'G1002', 'A1022');
