insert into check_in (checkin_id, passenger_id, checkin_date, checkin_status) values ('C1001', 'P1001', '04-May-2024', 'Pending');
insert into check_in (checkin_id, passenger_id, checkin_date, checkin_status) values ('C1002', 'P1002', '26-Apr-2024', 'Checked-in');
insert into check_in (checkin_id, passenger_id, checkin_date, checkin_status) values ('C1003', 'P1003', '27-Apr-2024', 'Checked-in');
insert into check_in (checkin_id, passenger_id, checkin_date, checkin_status) values ('C1004', 'P1004', '04-May-2024', 'Pending');
insert into check_in (checkin_id, passenger_id, checkin_date, checkin_status) values ('C1005', 'P1005', '03-May-2024', 'Checked-in');
insert into check_in (checkin_id, passenger_id, checkin_date, checkin_status) values ('C1006', 'P1006', '29-Apr-2024', 'Checked-in');
insert into check_in (checkin_id, passenger_id, checkin_date, checkin_status) values ('C1007', 'P1007', '04-May-2024', 'Checked-in');
insert into check_in (checkin_id, passenger_id, checkin_date, checkin_status) values ('C1008', 'P1008', '03-May-2024', 'Checked-in');
insert into check_in (checkin_id, passenger_id, checkin_date, checkin_status) values ('C1009', 'P1009', '26-Apr-2024', 'Checked-in');
insert into check_in (checkin_id, passenger_id, checkin_date, checkin_status) values ('C1010', 'P1010', '28-Apr-2024', 'Pending');
insert into check_in (checkin_id, passenger_id, checkin_date, checkin_status) values ('C1011', 'P1011', '27-Apr-2024', 'Pending');
insert into check_in (checkin_id, passenger_id, checkin_date, checkin_status) values ('C1012', 'P1012', '03-May-2024', 'Pending');
insert into check_in (checkin_id, passenger_id, checkin_date, checkin_status) values ('C1013', 'P1013', '30-Apr-2024', 'Checked-in');
insert into check_in (checkin_id, passenger_id, checkin_date, checkin_status) values ('C1014', 'P1014', '03-May-2024', 'Pending');
insert into check_in (checkin_id, passenger_id, checkin_date, checkin_status) values ('C1015', 'P1015', '27-Apr-2024', 'Checked-in');
insert into check_in (checkin_id, passenger_id, checkin_date, checkin_status) values ('C1016', 'P1016', '26-Apr-2024', 'Pending');
insert into check_in (checkin_id, passenger_id, checkin_date, checkin_status) values ('C1017', 'P1017', '30-Apr-2024', 'Pending');
insert into check_in (checkin_id, passenger_id, checkin_date, checkin_status) values ('C1018', 'P1018', '26-Apr-2024', 'Checked-in');
insert into check_in (checkin_id, passenger_id, checkin_date, checkin_status) values ('C1019', 'P1019', '27-Apr-2024', 'Checked-in');
insert into check_in (checkin_id, passenger_id, checkin_date, checkin_status) values ('C1020', 'P1020', '02-May-2024', 'Pending');
insert into check_in (checkin_id, passenger_id, checkin_date, checkin_status) values ('C1021', 'P1021', '29-Apr-2024', 'Pending');
insert into check_in (checkin_id, passenger_id, checkin_date, checkin_status) values ('C1022', 'P1022', '02-May-2024', 'Checked-in');
insert into check_in (checkin_id, passenger_id, checkin_date, checkin_status) values ('C1023', 'P1023', '02-May-2024', 'Pending');
