insert into flight_Pilot (flight_id, pilot_id) values ('F1001', 'PLT1001');
insert into flight_Pilot (flight_id, pilot_id) values ('F1001', 'PLT1002');
insert into flight_Pilot (flight_id, pilot_id) values ('F1001', 'PLT1003');
insert into flight_Pilot (flight_id, pilot_id) values ('F1001', 'PLT1004');
insert into flight_Pilot (flight_id, pilot_id) values ('F1001', 'PLT1005');
insert into flight_Pilot (flight_id, pilot_id) values ('F1001', 'PLT1006');
insert into flight_Pilot (flight_id, pilot_id) values ('F1001', 'PLT1007');
insert into flight_Pilot (flight_id, pilot_id) values ('F1001', 'PLT1008');
insert into flight_Pilot (flight_id, pilot_id) values ('F1001', 'PLT1009');
insert into flight_Pilot (flight_id, pilot_id) values ('F1001', 'PLT1010');
insert into flight_Pilot (flight_id, pilot_id) values ('F1001', 'PLT1011');
insert into flight_Pilot (flight_id, pilot_id) values ('F1001', 'PLT1012');
insert into flight_Pilot (flight_id, pilot_id) values ('F1001', 'PLT1013');
insert into flight_Pilot (flight_id, pilot_id) values ('F1001', 'PLT1014');
insert into flight_Pilot (flight_id, pilot_id) values ('F1001', 'PLT1015');
insert into flight_Pilot (flight_id, pilot_id) values ('F1001', 'PLT1016');
insert into flight_Pilot (flight_id, pilot_id) values ('F1001', 'PLT1017');
insert into flight_Pilot (flight_id, pilot_id) values ('F1001', 'PLT1018');
insert into flight_Pilot (flight_id, pilot_id) values ('F1001', 'PLT1019');
insert into flight_Pilot (flight_id, pilot_id) values ('F1001', 'PLT1020');
insert into flight_Pilot (flight_id, pilot_id) values ('F1001', 'PLT1021');
insert into flight_Pilot (flight_id, pilot_id) values ('F1001', 'PLT1022');
insert into flight_Pilot (flight_id, pilot_id) values ('F1001', 'PLT1023');
insert into flight_Pilot (flight_id, pilot_id) values ('F1001', 'PLT1024');
insert into flight_Pilot (flight_id, pilot_id) values ('F1001', 'PLT1025');
insert into flight_Pilot (flight_id, pilot_id) values ('F1001', 'PLT1026');
insert into flight_Pilot (flight_id, pilot_id) values ('F1001', 'PLT1027');
insert into flight_Pilot (flight_id, pilot_id) values ('F1001', 'PLT1028');
insert into flight_Pilot (flight_id, pilot_id) values ('F1001', 'PLT1029');
insert into flight_Pilot (flight_id, pilot_id) values ('F1001', 'PLT1030');
insert into flight_Pilot (flight_id, pilot_id) values ('F1002', 'PLT1001');
insert into flight_Pilot (flight_id, pilot_id) values ('F1002', 'PLT1002');
insert into flight_Pilot (flight_id, pilot_id) values ('F1002', 'PLT1003');
insert into flight_Pilot (flight_id, pilot_id) values ('F1002', 'PLT1004');
insert into flight_Pilot (flight_id, pilot_id) values ('F1002', 'PLT1005');
insert into flight_Pilot (flight_id, pilot_id) values ('F1002', 'PLT1006');
insert into flight_Pilot (flight_id, pilot_id) values ('F1002', 'PLT1007');
