insert into luggage (luggage_id, ticket_id, luggage_allowance) values ('L1001', 'T1281', 19);
insert into luggage (luggage_id, ticket_id, luggage_allowance) values ('L1002', 'T1251', 19);
insert into luggage (luggage_id, ticket_id, luggage_allowance) values ('L1003', 'T1076', 16);
insert into luggage (luggage_id, ticket_id, luggage_allowance) values ('L1004', 'T1145', 18);
insert into luggage (luggage_id, ticket_id, luggage_allowance) values ('L1005', 'T1173', 25);
insert into luggage (luggage_id, ticket_id, luggage_allowance) values ('L1006', 'T1091', 25);
insert into luggage (luggage_id, ticket_id, luggage_allowance) values ('L1007', 'T1147', 20);
insert into luggage (luggage_id, ticket_id, luggage_allowance) values ('L1008', 'T1016', 25);
insert into luggage (luggage_id, ticket_id, luggage_allowance) values ('L1009', 'T1187', 22);
insert into luggage (luggage_id, ticket_id, luggage_allowance) values ('L1010', 'T1037', 24);
insert into luggage (luggage_id, ticket_id, luggage_allowance) values ('L1011', 'T1215', 19);
insert into luggage (luggage_id, ticket_id, luggage_allowance) values ('L1012', 'T1219', 19);
insert into luggage (luggage_id, ticket_id, luggage_allowance) values ('L1013', 'T1117', 15);
insert into luggage (luggage_id, ticket_id, luggage_allowance) values ('L1014', 'T1245', 15);
insert into luggage (luggage_id, ticket_id, luggage_allowance) values ('L1015', 'T1021', 19);
insert into luggage (luggage_id, ticket_id, luggage_allowance) values ('L1016', 'T1206', 16);
insert into luggage (luggage_id, ticket_id, luggage_allowance) values ('L1017', 'T1255', 25);
insert into luggage (luggage_id, ticket_id, luggage_allowance) values ('L1018', 'T1211', 16);
insert into luggage (luggage_id, ticket_id, luggage_allowance) values ('L1019', 'T1153', 25);
insert into luggage (luggage_id, ticket_id, luggage_allowance) values ('L1020', 'T1210', 25);
insert into luggage (luggage_id, ticket_id, luggage_allowance) values ('L1021', 'T1191', 16);
insert into luggage (luggage_id, ticket_id, luggage_allowance) values ('L1022', 'T1088', 19);
insert into luggage (luggage_id, ticket_id, luggage_allowance) values ('L1023', 'T1183', 22);
insert into luggage (luggage_id, ticket_id, luggage_allowance) values ('L1024', 'T1258', 21);
insert into luggage (luggage_id, ticket_id, luggage_allowance) values ('L1025', 'T1070', 15);
insert into luggage (luggage_id, ticket_id, luggage_allowance) values ('L1026', 'T1200', 24);
insert into luggage (luggage_id, ticket_id, luggage_allowance) values ('L1027', 'T1017', 22);
insert into luggage (luggage_id, ticket_id, luggage_allowance) values ('L1028', 'T1174', 17);
insert into luggage (luggage_id, ticket_id, luggage_allowance) values ('L1029', 'T1151', 17);
insert into luggage (luggage_id, ticket_id, luggage_allowance) values ('L1030', 'T1164', 24);
insert into luggage (luggage_id, ticket_id, luggage_allowance) values ('L1031', 'T1027', 16);
insert into luggage (luggage_id, ticket_id, luggage_allowance) values ('L1032', 'T1123', 20);
insert into luggage (luggage_id, ticket_id, luggage_allowance) values ('L1033', 'T1044', 24);
insert into luggage (luggage_id, ticket_id, luggage_allowance) values ('L1034', 'T1277', 18);
insert into luggage (luggage_id, ticket_id, luggage_allowance) values ('L1035', 'T1093', 15);
insert into luggage (luggage_id, ticket_id, luggage_allowance) values ('L1036', 'T1252', 19);
insert into luggage (luggage_id, ticket_id, luggage_allowance) values ('L1037', 'T1064', 16);
insert into luggage (luggage_id, ticket_id, luggage_allowance) values ('L1038', 'T1092', 18);
insert into luggage (luggage_id, ticket_id, luggage_allowance) values ('L1039', 'T1276', 25);
insert into luggage (luggage_id, ticket_id, luggage_allowance) values ('L1040', 'T1129', 20);
insert into luggage (luggage_id, ticket_id, luggage_allowance) values ('L1041', 'T1250', 18);
insert into luggage (luggage_id, ticket_id, luggage_allowance) values ('L1042', 'T1065', 25);
insert into luggage (luggage_id, ticket_id, luggage_allowance) values ('L1043', 'T1174', 21);
insert into luggage (luggage_id, ticket_id, luggage_allowance) values ('L1044', 'T1015', 21);
insert into luggage (luggage_id, ticket_id, luggage_allowance) values ('L1045', 'T1263', 17);
insert into luggage (luggage_id, ticket_id, luggage_allowance) values ('L1046', 'T1126', 18);
insert into luggage (luggage_id, ticket_id, luggage_allowance) values ('L1047', 'T1137', 17);
insert into luggage (luggage_id, ticket_id, luggage_allowance) values ('L1048', 'T1068', 23);
insert into luggage (luggage_id, ticket_id, luggage_allowance) values ('L1049', 'T1294', 19);
insert into luggage (luggage_id, ticket_id, luggage_allowance) values ('L1050', 'T1249', 16);
insert into luggage (luggage_id, ticket_id, luggage_allowance) values ('L1051', 'T1223', 19);
insert into luggage (luggage_id, ticket_id, luggage_allowance) values ('L1052', 'T1268', 16);
insert into luggage (luggage_id, ticket_id, luggage_allowance) values ('L1053', 'T1153', 25);
insert into luggage (luggage_id, ticket_id, luggage_allowance) values ('L1054', 'T1132', 25);
insert into luggage (luggage_id, ticket_id, luggage_allowance) values ('L1055', 'T1180', 18);
insert into luggage (luggage_id, ticket_id, luggage_allowance) values ('L1056', 'T1190', 17);
insert into luggage (luggage_id, ticket_id, luggage_allowance) values ('L1057', 'T1107', 23);
insert into luggage (luggage_id, ticket_id, luggage_allowance) values ('L1058', 'T1227', 17);
insert into luggage (luggage_id, ticket_id, luggage_allowance) values ('L1059', 'T1145', 15);
insert into luggage (luggage_id, ticket_id, luggage_allowance) values ('L1060', 'T1065', 17);
insert into luggage (luggage_id, ticket_id, luggage_allowance) values ('L1061', 'T1294', 17);
insert into luggage (luggage_id, ticket_id, luggage_allowance) values ('L1062', 'T1056', 20);
insert into luggage (luggage_id, ticket_id, luggage_allowance) values ('L1063', 'T1038', 22);
insert into luggage (luggage_id, ticket_id, luggage_allowance) values ('L1064', 'T1192', 16);
insert into luggage (luggage_id, ticket_id, luggage_allowance) values ('L1065', 'T1042', 25);
insert into luggage (luggage_id, ticket_id, luggage_allowance) values ('L1066', 'T1086', 24);
insert into luggage (luggage_id, ticket_id, luggage_allowance) values ('L1067', 'T1196', 18);
insert into luggage (luggage_id, ticket_id, luggage_allowance) values ('L1068', 'T1100', 17);
insert into luggage (luggage_id, ticket_id, luggage_allowance) values ('L1069', 'T1114', 24);
insert into luggage (luggage_id, ticket_id, luggage_allowance) values ('L1070', 'T1053', 18);
insert into luggage (luggage_id, ticket_id, luggage_allowance) values ('L1071', 'T1256', 25);
insert into luggage (luggage_id, ticket_id, luggage_allowance) values ('L1072', 'T1184', 20);
