insert into cancellation (cancellation_id, cancellation_date, cancellation_reason, refund_amount, ticket_id) values ('CA1001', '01-May-2024', 'Medical emergency', 113.71, 'T1001');
insert into cancellation (cancellation_id, cancellation_date, cancellation_reason, refund_amount, ticket_id) values ('CA1002', '02-May-2024', 'Unexpected event', 97.94, 'T1002');
insert into cancellation (cancellation_id, cancellation_date, cancellation_reason, refund_amount, ticket_id) values ('CA1003', '04-May-2024', 'Change of plans', 98.23, 'T1003');
insert into cancellation (cancellation_id, cancellation_date, cancellation_reason, refund_amount, ticket_id) values ('CA1004', '04-May-2024', 'Personal reasons', 147.21, 'T1004');
insert into cancellation (cancellation_id, cancellation_date, cancellation_reason, refund_amount, ticket_id) values ('CA1005', '03-May-2024', 'Unexpected event', 143.52, 'T1005');
insert into cancellation (cancellation_id, cancellation_date, cancellation_reason, refund_amount, ticket_id) values ('CA1006', '01-May-2024', 'Personal reasons', 154.27, 'T1006');
insert into cancellation (cancellation_id, cancellation_date, cancellation_reason, refund_amount, ticket_id) values ('CA1007', '30-Apr-2024', 'Flight rescheduled', 122.27, 'T1007');
insert into cancellation (cancellation_id, cancellation_date, cancellation_reason, refund_amount, ticket_id) values ('CA1008', '29-Apr-2024', 'Unexpected event', 143.19, 'T1008');
insert into cancellation (cancellation_id, cancellation_date, cancellation_reason, refund_amount, ticket_id) values ('CA1009', '30-Apr-2024', 'Flight canceled', 152.41, 'T1009');
insert into cancellation (cancellation_id, cancellation_date, cancellation_reason, refund_amount, ticket_id) values ('CA1010', '01-May-2024', 'Unexpected event', 100.61, 'T1010');
insert into cancellation (cancellation_id, cancellation_date, cancellation_reason, refund_amount, ticket_id) values ('CA1011', '01-May-2024', 'Flight rescheduled', 132.21, 'T1011');
insert into cancellation (cancellation_id, cancellation_date, cancellation_reason, refund_amount, ticket_id) values ('CA1012', '26-Apr-2024', 'Flight rescheduled', 156.53, 'T1012');
insert into cancellation (cancellation_id, cancellation_date, cancellation_reason, refund_amount, ticket_id) values ('CA1013', '28-Apr-2024', 'Change of plans', 124.15, 'T1013');
insert into cancellation (cancellation_id, cancellation_date, cancellation_reason, refund_amount, ticket_id) values ('CA1014', '30-Apr-2024', 'Unexpected event', 127.17, 'T1014');
insert into cancellation (cancellation_id, cancellation_date, cancellation_reason, refund_amount, ticket_id) values ('CA1015', '29-Apr-2024', 'Personal reasons', 133.02, 'T1015');
insert into cancellation (cancellation_id, cancellation_date, cancellation_reason, refund_amount, ticket_id) values ('CA1016', '30-Apr-2024', 'Weather conditions', 103.65, 'T1016');
insert into cancellation (cancellation_id, cancellation_date, cancellation_reason, refund_amount, ticket_id) values ('CA1017', '30-Apr-2024', 'Weather conditions', 117.41, 'T1017');
insert into cancellation (cancellation_id, cancellation_date, cancellation_reason, refund_amount, ticket_id) values ('CA1018', '01-May-2024', 'Unexpected event', 105.35, 'T1018');
insert into cancellation (cancellation_id, cancellation_date, cancellation_reason, refund_amount, ticket_id) values ('CA1019', '02-May-2024', 'Personal reasons', 104.56, 'T1019');
insert into cancellation (cancellation_id, cancellation_date, cancellation_reason, refund_amount, ticket_id) values ('CA1020', '29-Apr-2024', 'Flight canceled', 144.96, 'T1020');
insert into cancellation (cancellation_id, cancellation_date, cancellation_reason, refund_amount, ticket_id) values ('CA1021', '02-May-2024', 'Change of plans', 116.77, 'T1021');
insert into cancellation (cancellation_id, cancellation_date, cancellation_reason, refund_amount, ticket_id) values ('CA1022', '28-Apr-2024', 'Change of plans', 150.25, 'T1022');
insert into cancellation (cancellation_id, cancellation_date, cancellation_reason, refund_amount, ticket_id) values ('CA1023', '03-May-2024', 'Flight rescheduled', 128.97, 'T1023');
insert into cancellation (cancellation_id, cancellation_date, cancellation_reason, refund_amount, ticket_id) values ('CA1024', '30-Apr-2024', 'Unexpected event', 145.9, 'T1024');
insert into cancellation (cancellation_id, cancellation_date, cancellation_reason, refund_amount, ticket_id) values ('CA1025', '28-Apr-2024', 'Weather conditions', 131.08, 'T1025');
